School Year,Average ACT Math Score
2005,26.0
2007,26.0
2008,28.0
2009,26.392857142857142
2010,25.926266129032257
2011,26.70608108108108
2012,27.20038461538461
2013,26.526293478260868
2014,26.867945454545453
2015,27.44043469387754
2016,29.075199999999995
