,"Enroll, Female: Avg. SAT Math Score (Enrl F)","Enroll, Male: Avg. SAT Math Score (Enrl M)"
1934,763.0,706.0
1935,705.0,700.0
1942,583.0,629.0
2112,430.0,670.0
2114,690.0,575.0
2117,635.0,327.0
2118,637.0,628.0
2119,615.0,640.0
2121,670.0,634.0
2122,639.0,645.0
2123,642.0,654.0
2124,617.0,628.0
2125,663.0,693.0
2126,662.0,680.0
2127,667.0,668.0
2128,670.0,684.0
2129,669.0,677.0
2130,534.71,578.66
2131,541.25,591.32
2132,572.31,574.84
2133,558.75,593.72
2134,569.38,591.34
2135,657.0,704.0
2136,552.0,628.0
2137,625.0,632.0
2138,588.0,644.0
2139,645.0,580.0
2140,601.0,655.0
2141,659.0,645.0
2142,640.0,636.0
2144,655.0,584.0
2146,645.0,580.0
2150,5.0,3.0
2151,2.0,3.0
2152,3.0,3.0
2153,4.0,3.0
2154,5.0,3.0
2155,5.0,4.0
2157,972.7,964.9
2158,991.9,981.3
2165,994.1,983.7
2166,961.6,992.0
2167,593.0,610.0
2168,632.0,625.0
2169,527.0,650.0
2170,576.0,625.0
2171,600.0,620.0
2174,610.0,647.0
2175,640.0,606.0
2176,649.0,612.0
2177,620.0,620.0
2178,650.0,623.0
2179,560.0,617.0
2181,590.0,652.0
2182,647.0,672.0
2183,636.0,678.0
2184,665.0,665.0
2185,715.0,685.0
2190,638.0,687.0
2191,625.0,660.0
2192,670.0,665.0
2193,637.0,652.0
2194,780.0,689.0
2195,653.0,698.0
2200,563.0,640.0
2201,600.0,631.0
2202,596.0,645.0
2203,643.0,650.0
2204,619.0,654.0
2207,590.0,616.0
2208,580.0,570.0
2209,575.0,579.0
2210,552.0,568.0
2211,491.0,577.0
2212,511.0,585.0
2213,565.0,588.0
2214,575.0,597.0
2215,670.0,608.0
2223,651.0,669.0
2225,628.0,623.0
2227,663.0,605.0
2228,530.0,623.0
2229,600.0,678.0
2240,746.6,755.0
2242,726.6,763.3
2243,725.0,760.0
2343,685.0,673.0
2344,684.0,704.0
2345,700.0,642.0
2346,715.0,702.0
2347,670.0,673.0
2349,580.0,644.0
2350,660.0,629.23
2351,620.0,621.67
2352,560.0,638.0
2354,470.0,531.11
2355,530.0,543.77
2356,551.43,551.27
2357,542.86,590.39
2358,455.0,610.65
2359,630.0,700.0
2361,640.0,520.0
2362,700.0,640.0
2363,700.0,680.0
2366,475.0,720.0
2367,769.0,779.0
2374,705.0,728.0
2376,666.0,705.0
2380,653.0,699.0
2381,705.0,693.0
2382,692.0,705.0
2383,704.0,711.0
2401,610.0,594.0
2402,547.0,591.0
2403,540.0,556.0
2404,490.0,630.0
2405,603.0,612.0
2406,528.0,570.0
2457,683.0,621.0
2458,683.0,621.0
2459,730.0,652.0
2460,608.0,607.0
2461,700.0,626.0
2462,540.0,646.0
2463,540.0,612.0
2464,645.0,713.0
2469,560.0,645.0
2470,567.0,653.0
2471,628.0,682.0
2472,623.0,650.0
2473,570.0,648.0
2474,680.0,697.0
2475,613.0,635.0
2478,570.0,580.0
2479,550.0,579.0
2480,580.0,567.0
2481,530.0,585.0
2482,550.0,583.0
2483,546.0,590.0
2484,590.0,604.0
2485,576.0,602.0
2508,593.0,668.0
2509,636.0,626.0
2510,594.0,617.0
2511,686.0,614.0
2512,627.0,628.0
2513,607.0,639.0
2514,584.0,639.0
2515,625.0,632.0
2519,582.0,645.0
2520,630.0,595.0
2521,675.0,678.0
2522,700.0,667.0
2523,632.0,636.0
2524,503.0,619.0
2525,972.7,964.9
2526,991.9,981.3
2533,683.33,714.16
2534,701.0,721.0
2535,640.0,718.0
2536,685.0,685.0
2537,673.0,709.0
2538,705.0,730.0
2539,700.0,670.0
2540,800.0,695.0
2541,500.0,690.0
2543,570.0,530.0
2544,500.0,488.24
2545,430.0,470.83
2546,545.0,456.67
2548,635.0,617.78
2549,610.0,626.25
2550,760.0,630.0
2552,640.0,641.54
2553,720.0,740.0
2555,800.0,632.0
2559,580.0,570.0
2560,657.0,644.0
2561,615.0,638.0
2562,631.0,661.0
2563,573.0,651.0
2571,605.0,615.0
2572,1220.0,1241.0
2573,1278.0,1251.0
2574,1238.0,1246.0
2575,1239.0,1251.0
2576,1237.0,1273.0
2577,1218.0,1194.0
2581,707.0,726.0
2582,702.0,733.0
2585,630.0,624.0
2586,530.0,591.0
2587,533.0,585.0
2588,584.0,629.0
2589,420.0,578.0
2591,590.0,731.0
2592,748.0,706.0
2593,620.0,641.0
2596,635.0,683.0
2597,650.0,688.0
2598,731.0,702.0
2599,660.0,700.0
2600,700.0,713.0
2601,590.0,624.0
2602,1245.0,1186.0
2604,994.1,983.7
2605,961.6,992.0
2616,665.0,622.8
2624,529.2,601.4
2626,27.0,28.0
2630,580.0,653.0
2631,628.0,664.0
2632,638.0,627.0
2634,531.0,626.0
2635,648.0,615.0
2636,623.0,625.0
2637,634.0,636.0
2638,645.0,640.0
2639,605.0,624.0
2640,576.0,617.0
2641,631.0,618.0
2642,617.0,597.0
2643,651.0,589.0
2644,594.0,599.0
2645,557.0,599.0
2646,572.0,592.0
2647,606.0,597.0
2648,625.0,601.0
2649,599.0,597.0
2663,648.0,679.0
2664,672.0,658.0
2665,603.0,645.0
2666,640.0,647.0
2667,731.8,742.5
2668,743.7,746.09
2669,758.7,756.8
2670,763.0,766.0
2677,653.0,678.0
2678,682.0,687.0
2679,637.0,671.0
2680,626.0,673.0
2681,635.0,670.0
2682,710.0,723.0
2683,679.0,594.0
2684,691.0,711.0
2685,669.0,694.0
2686,645.0,678.0
2687,560.0,573.0
2688,588.0,594.0
2689,560.0,560.0
2691,624.0,519.0
2696,766.0,761.0
2697,642.0,692.0
2705,1267.0,1285.0
2706,1293.0,1293.0
2707,1248.0,1290.0
2708,1279.0,1274.0
2709,1265.0,1295.0
2712,693.0,733.0
2713,692.0,701.0
2714,1080.0,1216.0
2727,535.0,602.0
2729,590.0,600.0
2730,542.0,573.0
2731,500.0,602.0
2732,623.0,589.0
2733,650.0,573.0
2734,460.0,597.0
2735,543.0,617.0
2736,605.0,619.0
2737,567.0,633.0
2738,620.0,603.0
2739,542.0,615.0
2740,560.0,616.0
2741,590.0,619.0
2743,615.0,604.0
2746,643.0,695.0
2753,1149.0,1154.0
2754,1173.0,1133.0
2755,1143.0,1171.0
2756,1152.0,1192.0
2757,1138.0,1183.0
2758,1000.0,1078.0
2759,1006.0,1090.0
