School Year,Average HS GPA
2003,3.626875
2004,3.5144999999999995
2005,3.493846153846154
2006,3.5273333333333334
2007,3.567999999999999
2008,3.640675675675676
2009,3.6079069767441863
2010,3.547820289855073
2011,3.5595076470588243
2012,3.5930786585365846
2013,3.6181215116279057
2014,3.5584567073170734
2015,3.5728727250000007
2016,3.757
