0,27.0
2,27.0
3,31.0
4,27.0
5,24.0
6,26.0
13,28.0
14,28.0
15,29.0
16,30.0
54,23.0
73,29.58
86,34.0
90,21.0
91,19.0
92,20.0
94,21.333000000000002
95,23.166999999999998
96,28.0
133,29.0
224,21.57
225,21.0
226,20.5
227,21.0
228,22.0
236,26.0
237,28.0
238,23.0
239,24.0
240,24.0
241,26.0
247,23.67
248,21.0
255,23.0
257,23.0
296,26.0
324,27.67
357,31.6
358,30.25
359,28.28
360,29.8
377,32.5
379,30.0
380,31.6667
381,31.5
382,28.0
383,30.67
384,35.0
385,31.1667
387,33.0
390,26.5
391,33.0
393,31.67
394,32.0
395,30.0
396,30.0
397,30.67
464,32.0
465,32.0
664,24.0
783,26.0
784,29.0
785,26.0
791,21.6
792,21.0
963,28.67
1063,27.2
1064,26.5
1065,27.0
1480,17.0
1481,20.0
1486,34.0
1487,33.0
1488,23.0
1489,31.0
1490,26.0
1491,20.0
1492,22.7
1493,23.6
1494,25.6
1495,30.0
1496,22.0
1497,28.7
1498,22.3
1499,22.0
1500,28.0
1501,25.5
1502,24.0
1503,26.4
1504,27.0
1505,26.5
1506,28.75
1507,19.63
1508,23.0
1509,21.67
1510,24.75
1511,26.15
1512,23.25
1513,24.17
1514,24.67
1515,24.9
1521,29.7
1522,27.4
1523,25.6
1531,25.0
1539,30.0
1542,29.5
1543,30.28
1544,32.08
1545,31.55
1602,27.29
1603,27.5
1604,29.5
1605,28.67
1606,28.85
1607,27.2
1631,32.0
1643,32.0
1647,28.0
1648,25.0
1649,27.3
1650,28.5
1651,31.8
1654,31.0
1655,31.78
1656,33.43
1657,33.67
1658,33.52
1659,33.375
1660,20.4
1661,20.7
1662,31.74
1678,25.83
1697,23.89
1698,25.27
1704,24.4
1708,23.0
1712,26.0
1713,25.0
1714,26.0
1715,25.0
1716,22.0
1721,26.0
1722,26.0
1723,25.0
1724,27.0
1725,30.67
1782,31.3
1783,28.9
1784,29.6
1785,29.4
1786,27.6
1795,29.2
1863,20.0
1864,25.6
1873,24.9
1920,32.0
1922,23.0
1924,23.0
1926,25.0
1927,24.0
1928,27.0
1929,26.0
1930,26.0
1931,27.0
1934,31.0
1935,29.0
2115,27.0
2117,30.0
2118,28.0
2119,29.0
2121,31.0
2122,28.0
2123,29.0
2124,29.0
2125,29.8
2126,29.5
2127,29.5
2128,29.3
2129,30.9
2130,23.5
2131,23.0
2132,23.8
2133,23.75
2134,24.79
2135,29.3
2140,29.0
2141,28.0
2142,27.0
2143,27.0
2145,24.0
2157,21.6
2158,21.0
2165,20.4
2166,20.7
2172,23.0
2173,23.0
2227,25.0
2228,24.0
2229,28.0
2344,33.0
2348,28.0
2349,29.0
2350,26.0
2351,33.0
2352,26.5
2353,27.0
2354,22.67
2355,23.0
2356,24.5
2357,22.8
2358,18.0
2359,25.7
2360,28.9
2361,26.7
2362,30.0
2363,26.3
2364,27.5
2366,25.4
2374,32.0
2376,30.0
2379,29.6
2382,29.5
2383,29.3
2391,23.5
2439,24.5
2440,24.0
2442,24.0
2445,27.5
2451,27.3
2520,27.0
2521,29.0
2522,25.0
2525,21.6
2526,21.0
2533,31.0
2536,28.0
2543,17.0
2544,22.857
2545,23.857
2546,22.1
2547,24.5
2548,28.0
2549,32.5
2551,27.0
2552,23.0
2553,29.4
2554,29.0
2555,28.8
2556,26.1
2557,28.3
2558,24.5
2559,25.2
2581,30.0
2582,28.0
2586,24.0
2587,25.0
2588,20.0
2589,26.0
2590,18.0
2591,33.0
2592,33.0
2596,29.8
2599,29.0
2600,30.0
2604,20.4
2605,20.7
2616,25.5
2624,22.3
2628,34.0
2629,26.0
2633,27.0
2664,26.0
2665,27.0
2666,27.0
2677,30.1
2678,29.9
2679,29.3
2680,29.8
2681,29.2
2682,31.0
2684,28.0
2687,26.6
2688,24.0
2689,21.0
2691,35.0
2692,23.0
2694,25.8
2695,24.71
2697,30.2
2712,33.0
2713,31.0
2725,23.08
2726,26.27
2727,22.0
2744,27.0
2745,28.0
2793,29.0
2794,26.0
2888,22.0
2892,21.5
2893,18.33
