School Year,Average SAT Math Score
2003,624.73
2004,492.83
2005,561.0136363636364
2006,531.8973333333332
2007,546.3265
2008,559.3922727272727
2009,653.02625
2010,650.259262295082
2011,650.0841447368423
2012,658.7951898734176
2013,673.8869375
2014,679.8653243243242
2015,708.807490909091
2016,703.5577586206895
